price,sellable_online,other_colors,height,width,category_Bar furniture,category_Beds,category_Bookcases & shelving units,category_Cabinets & cupboards,category_Café furniture,category_Chairs,category_Chests of drawers & drawer units,category_Children's furniture,category_Nursery furniture,category_Outdoor furniture,category_Room dividers,"category_Sideboards, buffets & console tables",category_Sofas & armchairs,category_TV & media furniture,category_Tables & desks,category_Trolleys,category_Wardrobes
265.0,True,0,99.0,51.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
995.0,False,0,105.0,80.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2095.0,False,0,101.679970436068,60.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69.0,True,1,100.0,60.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
225.0,True,0,43.0,74.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
345.0,True,0,91.0,40.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129.0,True,0,95.0,50.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195.0,True,0,101.679970436068,50.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129.0,True,0,95.0,50.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2176.0,True,0,101.679970436068,60.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149.0,True,0,103.0,52.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
395.0,True,0,102.0,40.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
395.0,True,0,103.0,46.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
177.0,True,0,104.0,43.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
345.0,True,0,114.0,43.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
695.0,True,0,105.0,70.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
395.0,True,0,102.0,40.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140.0,True,1,101.679970436068,36.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
595.0,True,0,84.0,38.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149.0,True,0,103.0,52.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
995.0,True,0,105.0,80.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175.0,True,0,63.0,44.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
595.0,True,0,84.0,38.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
796.0,True,0,105.0,80.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
345.0,True,0,114.0,43.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
345.0,True,0,114.0,43.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
796.0,True,0,105.0,80.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
695.0,True,0,102.0,40.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
